,trial,key,condition,freq_category,accuracy,start_time,end_time,reaction_time
0,sfinxen_sound,z,rw,LF,C,2.996142208998208,4.369637523996062,1.3734953149978537
1,help_sound,z,rw,HF,C,4.902368271999876,5.80947020399617,0.9071019319962943
2,idee_sound,z,rw,HF,C,6.357142868990195,7.209323563001817,0.8521806940116221
3,labber_sound,m,nw,none,C,7.744835637990036,8.657201821988565,0.9123661839985289
4,ponten_sound,z,rw,LF,C,9.200153482990572,10.07323063298827,0.8730771499976981
5,hen_sound,z,rw,HF,C,10.61291999000241,11.441343198996037,0.8284232089936268
6,herken_sound,z,nw,none,N,11.974314086997765,13.329358935996424,1.3550448489986593
7,bluit_sound,m,nw,none,C,13.865316835988779,15.08151305100182,1.216196215013042
8,juist_sound,z,rw,HF,C,15.620613930994296,16.537291454995284,0.9166775240009883
9,stengels_sound,m,rw,LF,N,17.075309505002224,18.177217835997,1.1019083309947746
10,buidels_sound,z,rw,LF,C,18.713750557988533,19.785205591993872,1.0714550340053393
11,spodiel_sound,m,nw,none,C,20.318871534997015,21.433435592989554,1.1145640579925384
12,gardien_sound,m,nw,none,C,21.974421424994944,23.353405513989856,1.3789840889949119
13,lanen_sound,z,rw,LF,C,23.89747747599904,25.19342590199085,1.29594842599181
14,topaas_sound,z,rw,LF,C,25.73617108698818,27.361391158992774,1.6252200720045948
15,udel_sound,m,nw,none,C,27.893533497990575,29.225395553992712,1.3318620560021373
16,beitels_sound,m,rw,LF,N,29.766738013990107,31.129270585995982,1.3625325720058754
17,werd_sound,m,rw,HF,N,31.672790198994335,33.22535642699222,1.552566227997886
18,rakot_sound,m,nw,none,C,33.76302440499421,34.76138739899034,0.9983629939961247
19,kijs_sound,m,nw,none,C,35.301351141999476,36.72946319699986,1.4281120550003834
20,snert_sound,m,rw,LF,N,37.27410681798938,38.84132882699487,1.5672220090054907
21,klaap_sound,m,nw,none,C,39.380788600989035,40.56221207199269,1.1814234710036544
22,plaats_sound,z,rw,HF,C,41.10360832000151,41.857478017001995,0.7538696970004821
23,hele_sound,z,rw,HF,C,42.391411819990026,43.241490696993424,0.8500788770033978
24,bezig_sound,z,rw,HF,C,43.779029265991994,44.70539507899957,0.9263658130075783
25,gimmel_sound,z,nw,none,N,45.25042693699652,46.29741581399867,1.0469888770021498
26,zolders_sound,m,rw,LF,N,46.838520833989605,48.40144536099979,1.562924527010182
27,rogenten_sound,m,nw,none,C,48.9445890700008,50.41745137599355,1.4728623059927486
28,zit_sound,z,rw,HF,C,50.95188492099987,51.849307368000154,0.897422447000281
29,ogen_sound,z,rw,HF,C,52.39030126600119,53.12131252299878,0.73101125699759
30,woei_sound,m,rw,LF,N,53.65998394000053,54.64925676499843,0.9892728249978973
31,hield_sound,m,rw,HF,N,55.1826607069961,56.28932977699151,1.1066690699954052
32,giep_sound,m,nw,none,C,56.8212152569904,57.67334983299952,0.8521345760091208
33,barse_sound,m,rw,LF,N,58.208095082998625,59.4172144740005,1.2091193910018774
34,kabrieken_sound,m,nw,none,C,59.94815959199332,61.1534067439934,1.2052471520000836
35,rufel_sound,m,nw,none,C,61.68725079498836,62.80949952598894,1.1222487310005818
36,recht_sound,z,rw,HF,C,63.34249724699475,64.30534921999788,0.9628519730031257
37,gietsen_sound,m,nw,none,C,64.84715786899324,65.90531592299521,1.0581580540019786
38,megen_sound,m,nw,none,C,66.43607204199361,67.56127238599584,1.1252003440022236
39,vlump_sound,m,nw,none,C,68.09110634299577,68.95324814699416,0.8621418039983837
40,mijk_sound,m,nw,none,C,69.49571548998938,70.6734600399941,1.177744550004718
41,sluinen_sound,m,nw,none,C,71.21808338200208,72.20935802499298,0.9912746429909021
42,bij_sound,z,rw,HF,C,72.73979623000196,73.60937287998968,0.8695766499877209
43,balkons_sound,m,rw,LF,N,74.14404548799212,75.72935543999483,1.5853099520027172
44,plin_sound,m,nw,none,C,76.26846221998858,77.19330666799215,0.9248444480035687
45,entel_sound,m,nw,none,C,77.72168535499077,78.5294033879909,0.8077180330001283
46,millag_sound,m,nw,none,C,79.05948680499569,79.88941731599334,0.8299305109976558
47,lijsters_sound,z,rw,LF,C,80.43216185799974,82.0335105129925,1.601348654992762
