,trial,key,condition,freq_category,accuracy,start_time,end_time,reaction_time
0,women_sound,m,nw,none,C,1.9086936750099994,3.5036169970117044,1.594923322001705
1,monen_sound,z,nw,none,N,4.049230741002248,5.5916964930074755,1.5424657520052278
2,plaats_sound,z,rw,HF,C,6.140249282005243,7.263559812010499,1.1233105300052557
3,rieve_sound,z,nw,none,N,7.795048862011754,9.767635468000663,1.9725866059889086
4,prookt_sound,m,nw,none,C,10.30303280800581,11.56753687300079,1.2645040649949806
5,hese_sound,z,rw,LF,C,12.125573072000407,13.223987123012193,1.0984140510117868
6,pectars_sound,m,nw,none,C,13.765091198001755,15.447570505013573,1.6824793070118176
7,knaarde_sound,z,nw,none,N,15.99814719700953,17.351489605003735,1.3533424079942051
8,eigen_sound,z,rw,HF,C,17.894487229001243,19.551522337002098,1.657035108000855
9,sjalot_sound,z,rw,LF,C,20.085102933007875,21.12768128501193,1.0425783520040568
10,ploe_sound,z,nw,none,N,21.69054909600527,23.16759247801383,1.47704338200856
11,gonsde_sound,m,rw,LF,N,23.713542889003293,25.25566882500425,1.5421259360009572
12,schuiten_sound,m,rw,LF,N,25.796484500009683,26.959637285006465,1.1631527849967824
13,stekken_sound,m,rw,LF,N,27.4926313310134,29.10343163801008,1.6108003069966799
14,kandola_sound,m,nw,none,C,29.633759473013924,32.07147279800847,2.4377133249945473
15,hormen_sound,m,nw,none,C,32.62610823501018,34.75979299400933,2.133684758999152
16,geweest_sound,z,rw,HF,C,35.30194247201143,36.375543662012205,1.0736011900007725
17,rogenten_sound,m,nw,none,C,36.92326656500518,38.7756070010073,1.8523404360021232
18,redden_sound,z,rw,HF,C,39.31490336600109,40.27952756700688,0.9646242010057904
19,hen_sound,z,rw,HF,C,40.82838058201014,41.679665872012265,0.8512852900021244
20,kijs_sound,z,nw,none,N,42.22308877301111,43.3516313930013,1.128542619990185
21,soort_sound,z,rw,HF,C,43.896424204009236,45.33564326600754,1.4392190619983012
22,gietsen_sound,m,nw,none,C,45.87851857600617,47.071489119000034,1.1929705429938622
23,buidels_sound,z,rw,LF,C,47.60822438800824,48.943541641012416,1.3353172530041775
24,nef_sound,m,nw,none,C,49.48221291000664,50.59950211700925,1.1172892070026137
25,gedaan_sound,z,rw,HF,C,51.15350412600674,52.31970353401266,1.166199408005923
26,werd_sound,z,rw,HF,C,52.858768920006696,54.327512778007076,1.46874385800038
27,hield_sound,z,rw,HF,C,54.86576105000859,56.54349655901024,1.67773550900165
28,porde_sound,z,rw,LF,C,57.10590769001283,58.30355555401184,1.1976478639990091
29,stengels_sound,m,rw,LF,N,58.844889903004514,60.07150952001393,1.226619617009419
30,sluinen_sound,m,nw,none,C,60.626729972005705,61.74368197200238,1.1169519999966724
31,megen_sound,m,nw,none,C,62.28849981800886,63.743475851006224,1.454976032997365
32,gemaakt_sound,z,rw,HF,C,64.27886824200687,65.33553318200575,1.056664939998882
33,gevupt_sound,z,nw,none,N,65.87710121501004,66.94358476801426,1.0664835530042183
34,moksen_sound,z,nw,none,N,67.48900727501314,68.35951184001169,0.870504564998555
35,woei_sound,z,rw,LF,C,68.89404492000176,70.02378813800169,1.1297432179999305
36,drintels_sound,z,nw,none,N,70.56568522501038,71.55189581301238,0.9862105880019953
37,doppel_sound,z,nw,none,N,72.08777849801118,73.38352705600846,1.2957485579972854
38,labber_sound,z,nw,none,N,73.92674909000925,74.74366794001253,0.816918850003276
39,open_sound,z,rw,HF,C,75.28116096100712,76.3914833170129,1.1103223560057813
40,lanen_sound,z,rw,LF,C,76.95414846000494,77.8395215490018,0.8853730889968574
41,wrongel_sound,z,rw,LF,C,78.37475086201448,79.32763621800405,0.9528853559895651
42,venkel_sound,z,rw,LF,C,79.86299352301285,81.35149448701122,1.4885009639983764
